pt_idx,S0,K,T,r,sigma,ref_source,p,sim_price,ref_price,delta
1,100.0,100.0,1.0,0.05,0.2,grid,0,10.990231642402327,10.722332369684269,0.2678992727180578
1,100.0,100.0,1.0,0.05,0.2,grid,0.0001,10.71258321896343,10.722332369684269,0.009749150720839594
1,100.0,100.0,1.0,0.05,0.2,grid,0.001,11.008484898081413,10.722332369684269,0.2861525283971442
1,100.0,100.0,1.0,0.05,0.2,grid,0.005,9.436917820599676,10.722332369684269,1.2854145490845923
1,100.0,100.0,1.0,0.05,0.2,grid,0.01,15.06745782890606,10.722332369684269,4.345125459221791
2,110.0,100.0,1.0,0.05,0.2,grid,0,17.69851326778988,17.927356361040054,0.22884309325017327
2,110.0,100.0,1.0,0.05,0.2,grid,0.0001,17.96471922494835,17.927356361040054,0.03736286390829591
2,110.0,100.0,1.0,0.05,0.2,grid,0.001,17.751083286132573,17.927356361040054,0.17627307490748123
2,110.0,100.0,1.0,0.05,0.2,grid,0.005,19.278007860602745,17.927356361040054,1.3506514995626908
2,110.0,100.0,1.0,0.05,0.2,grid,0.01,19.0535524308162,17.927356361040054,1.126196069776146
3,90.0,100.0,1.0,0.05,0.2,grid,0,5.38390184417307,5.347927358941699,0.035974485231371034
3,90.0,100.0,1.0,0.05,0.2,grid,0.0001,5.046912462452514,5.347927358941699,0.30101489648918456
3,90.0,100.0,1.0,0.05,0.2,grid,0.001,5.625146858720959,5.347927358941699,0.2772194997792603
3,90.0,100.0,1.0,0.05,0.2,grid,0.005,6.318978541937878,5.347927358941699,0.9710511829961792
3,90.0,100.0,1.0,0.05,0.2,grid,0.01,9.257800224165617,5.347927358941699,3.9098728652239183
4,80.0,100.0,1.0,0.05,0.2,grid,0,2.0748546529047487,2.1893221106183836,0.11446745771363487
4,80.0,100.0,1.0,0.05,0.2,grid,0.0001,2.0420045074171402,2.1893221106183836,0.14731760320124332
4,80.0,100.0,1.0,0.05,0.2,grid,0.001,2.8159675226662064,2.1893221106183836,0.6266454120478229
4,80.0,100.0,1.0,0.05,0.2,grid,0.005,6.037930705581909,2.1893221106183836,3.848608594963525
4,80.0,100.0,1.0,0.05,0.2,grid,0.01,6.490684932516256,2.1893221106183836,4.301362821897873
5,120.0,100.0,1.0,0.05,0.2,grid,0,26.22131599892655,26.461423854520202,0.24010785559365289
5,120.0,100.0,1.0,0.05,0.2,grid,0.0001,26.911332570688366,26.461423854520202,0.44990871616816364
5,120.0,100.0,1.0,0.05,0.2,grid,0.001,25.474717037945606,26.461423854520202,0.9867068165745962
5,120.0,100.0,1.0,0.05,0.2,grid,0.005,41.617612980691824,26.461423854520202,15.156189126171622
5,120.0,100.0,1.0,0.05,0.2,grid,0.01,45.493976869791446,26.461423854520202,19.032553015271244
6,100.0,100.0,0.25,0.05,0.2,grid,0,4.977938286669295,4.908253952163647,0.06968433450564859
6,100.0,100.0,0.25,0.05,0.2,grid,0.0001,4.833310788676245,4.908253952163647,0.0749431634874016
6,100.0,100.0,0.25,0.05,0.2,grid,0.001,5.076495386847003,4.908253952163647,0.16824143468335606
6,100.0,100.0,0.25,0.05,0.2,grid,0.005,5.819888310770094,4.908253952163647,0.911634358606447
6,100.0,100.0,0.25,0.05,0.2,grid,0.01,4.377599968559861,4.908253952163647,0.530653983603786
7,100.0,100.0,2.0,0.05,0.2,grid,0,15.900938927272758,15.95862116268223,0.05768223540947126
7,100.0,100.0,2.0,0.05,0.2,grid,0.0001,16.151306960651198,15.95862116268223,0.19268579796896823
7,100.0,100.0,2.0,0.05,0.2,grid,0.001,14.831513327201758,15.95862116268223,1.127107835480471
7,100.0,100.0,2.0,0.05,0.2,grid,0.005,18.535699089198904,15.95862116268223,2.577077926516674
7,100.0,100.0,2.0,0.05,0.2,grid,0.01,18.357497763642726,15.95862116268223,2.398876600960497
8,100.0,100.0,1.0,0.05,0.15,grid,0,8.6671902670676,8.707256534963411,0.04006626789581169
8,100.0,100.0,1.0,0.05,0.15,grid,0.0001,8.648145786908954,8.707256534963411,0.05911074805445793
8,100.0,100.0,1.0,0.05,0.15,grid,0.001,8.368915383369632,8.707256534963411,0.3383411515937791
8,100.0,100.0,1.0,0.05,0.15,grid,0.005,9.7070120461353,8.707256534963411,0.9997555111718892
8,100.0,100.0,1.0,0.05,0.15,grid,0.01,7.344285234207052,8.707256534963411,1.3629713007563593
9,100.0,100.0,1.0,0.05,0.3,grid,0,14.484353097210644,14.570974990498586,0.08662189328794234
9,100.0,100.0,1.0,0.05,0.3,grid,0.0001,14.921848677420959,14.570974990498586,0.3508736869223732
9,100.0,100.0,1.0,0.05,0.3,grid,0.001,15.427215433163257,14.570974990498586,0.8562404426646708
9,100.0,100.0,1.0,0.05,0.3,grid,0.005,22.085909271551643,14.570974990498586,7.514934281053057
9,100.0,100.0,1.0,0.05,0.3,grid,0.01,22.525926835079744,14.570974990498586,7.954951844581158
10,100.0,105.0,0.5,0.05,0.25,grid,0,6.236805527688366,6.44916558612123,0.21236005843286332
10,100.0,105.0,0.5,0.05,0.25,grid,0.0001,6.068890814308468,6.44916558612123,0.38027477181276126
10,100.0,105.0,0.5,0.05,0.25,grid,0.001,6.515125485522334,6.44916558612123,0.06595989940110414
10,100.0,105.0,0.5,0.05,0.25,grid,0.005,7.101658861380782,6.44916558612123,0.6524932752595527
10,100.0,105.0,0.5,0.05,0.25,grid,0.01,9.741455415975006,6.44916558612123,3.292289829853776
