source,case,arm,layout,width,fraction_bits,degree,reductions,status,deterministic_upper,ae_size,a_calls,conservative_cx,control_cancelled_cx,a_qubits,total_qubits
primary,D1,workspace_only,retained,40,20,24,0,ideal_plan,0.10189902835455992625804467727841993450293783734267932969894317491511904456344780,1024,34799,4795253686573,560069334031,1835,3678
primary,D1,workspace_only,reused,40,20,24,0,ideal_plan,0.10189902835455992625804467727841993450293783734267932969894317491511904456344780,1024,34799,4795178348761,559993996219,1113,2234
primary,D1,range_reduced,retained,40,20,8,1,ideal_plan,0.10284620107076944615422628562104144471746375851665068564099510114709707953931839,1024,34799,3929278874701,459008022895,1915,3838
primary,D1,range_reduced,reused,40,20,8,1,ideal_plan,0.10284620107076944615422628562104144471746375851665068564099510114709707953931839,1024,34799,3929199363049,458928511243,1153,2314
primary,D1,range_reduced,retained,40,20,8,2,ideal_plan,0.10403712395192449309949254724889509077614946060634822193060635731506833480209917,1024,34799,4362255990061,509561222095,1995,3998
primary,D1,range_reduced,reused,40,20,8,2,ideal_plan,0.10403712395192449309949254724889509077614946060634822193060635731506833480209917,1024,34799,4362172304569,509477536603,1193,2394
primary,D1,range_reduced,retained,40,20,8,3,ideal_plan,0.10673621462652848914502445305831395961984896182739422087758619531254328855064591,1024,34799,4795233105421,560114421295,2075,4158
primary,D1,range_reduced,reused,40,20,8,3,ideal_plan,0.10673621462652848914502445305831395961984896182739422087758619531254328855064591,1024,34799,4795145246089,560026561963,1233,2474
primary,D1,range_reduced,retained,40,20,12,1,ideal_plan,0.10284625455745198462459225698070066905848326331353580866056960563343447653660952,1024,34799,4363593921069,509717121615,1995,3998
primary,D1,range_reduced,reused,40,20,12,1,ideal_plan,0.10284625455745198462459225698070066905848326331353580866056960563343447653660952,1024,34799,4363510235577,509633436123,1193,2394
primary,D1,range_reduced,retained,40,20,12,2,ideal_plan,0.10403713008137085619860386988725330296381695491118528612664813225672489404491332,1024,34799,4796571036429,560270320815,2075,4158
primary,D1,range_reduced,reused,40,20,12,2,ideal_plan,0.10403713008137085619860386988725330296381695491118528612664813225672489404491332,1024,34799,4796483177097,560182461483,1233,2474
primary,D1,range_reduced,retained,40,20,12,3,ideal_plan,0.10673621469708427364624783861149486451292836744917701141343338299851799316609669,1024,34799,5229548151789,610823520015,2155,4318
primary,D1,range_reduced,reused,40,20,12,3,ideal_plan,0.10673621469708427364624783861149486451292836744917701141343338299851799316609669,1024,34799,5229456118617,610731486843,1273,2554
primary,D1,range_reduced,retained,40,20,16,1,ideal_plan,0.10284635108349114443883840826042323529728711388890638606420879918146825039480146,1024,34799,4363593921069,509717121615,1995,3998
primary,D1,range_reduced,reused,40,20,16,1,ideal_plan,0.10284635108349114443883840826042323529728711388890638606420879918146825039480146,1024,34799,4363510235577,509633436123,1193,2394
primary,D1,range_reduced,retained,40,20,16,2,ideal_plan,0.10403713012443538470032417809061686937510587894265125182249548444860078494285735,1024,34799,4796571036429,560270320815,2075,4158
primary,D1,range_reduced,reused,40,20,16,2,ideal_plan,0.10403713012443538470032417809061686937510587894265125182249548444860078494285735,1024,34799,4796483177097,560182461483,1233,2474
primary,D1,range_reduced,retained,40,20,16,3,ideal_plan,0.10673621469710480186338078316932758101433541940369513499276425846073937056473362,1024,34799,5229548151789,610823520015,2155,4318
primary,D1,range_reduced,reused,40,20,16,3,ideal_plan,0.10673621469710480186338078316932758101433541940369513499276425846073937056473362,1024,34799,5229456118617,610731486843,1273,2554
primary,D1,range_reduced,retained,48,20,8,1,ideal_plan,0.10284620107076944615422628562104144471746375851665068564099510114709707953931839,1024,34799,5638275265453,658550759983,2275,4558
primary,D1,range_reduced,reused,48,20,8,1,ideal_plan,0.10284620107076944615422628562104144471746375851665068564099510114709707953931839,1024,34799,5638179893209,658455387739,1361,2730
primary,D1,range_reduced,retained,48,20,8,2,ideal_plan,0.10403712395192449309949254724889509077614946060634822193060635731506833480209917,1024,34799,6260429944813,731187682159,2371,4750
primary,D1,range_reduced,reused,48,20,8,2,ideal_plan,0.10403712395192449309949254724889509077614946060634822193060635731506833480209917,1024,34799,6260329563961,731087301307,1409,2826
primary,D1,range_reduced,retained,48,20,8,3,ideal_plan,0.10673621462652848914502445305831395961984896182739422087758619531254328855064591,1024,34799,6882584624173,803824604335,2467,4942
primary,D1,range_reduced,reused,48,20,8,3,ideal_plan,0.10673621462652848914502445305831395961984896182739422087758619531254328855064591,1024,34799,6882479234713,803719214875,1457,2922
primary,D1,range_reduced,retained,48,20,12,1,ideal_plan,0.10284625455745198462459225698070066905848326331353580866056960563343447653660952,1024,34799,6262035016813,731374761583,2371,4750
primary,D1,range_reduced,reused,48,20,12,1,ideal_plan,0.10284625455745198462459225698070066905848326331353580866056960563343447653660952,1024,34799,6261934635961,731274380731,1409,2826
primary,D1,range_reduced,retained,48,20,12,2,ideal_plan,0.10403713008137085619860386988725330296381695491118528612664813225672489404491332,1024,34799,6884189696173,804011683759,2467,4942
primary,D1,range_reduced,reused,48,20,12,2,ideal_plan,0.10403713008137085619860386988725330296381695491118528612664813225672489404491332,1024,34799,6884084306713,803906294299,1457,2922
primary,D1,range_reduced,retained,48,20,12,3,ideal_plan,0.10673621469708427364624783861149486451292836744917701141343338299851799316609669,1024,34799,7506344375533,876648605935,2563,5134
primary,D1,range_reduced,reused,48,20,12,3,ideal_plan,0.10673621469708427364624783861149486451292836744917701141343338299851799316609669,1024,34799,7506233977465,876538207867,1505,3018
