arm,condition,shots,method,attempts,executed,nonempty,declarations,false_declarations,delivery_rate,price_contains_count,price_containment_among_executed,price_containment_among_nonempty,false_unconditional,false_among_declarations,total_a_queries,total_shots
fixed,envelope,512,direct,1200,1200,1200,200,0,0.16666666666666666,1178,0.9816666666666667,0.9816666666666667,0.0,0.0,21504000,21504000
fixed,envelope,512,multidepth,1200,1200,1191,198,0,0.165,1181,0.9841666666666666,0.9916036943744753,0.0,0.0,21504000,3072000
fixed,envelope,8192,direct,1200,1200,1200,200,0,0.16666666666666666,1199,0.9991666666666666,0.9991666666666666,0.0,0.0,344064000,344064000
fixed,envelope,8192,multidepth,1200,1200,1197,209,0,0.17416666666666666,1195,0.9958333333333333,0.9983291562238931,0.0,0.0,344064000,49152000
fixed,envelope,32768,direct,1200,1200,1200,400,0,0.3333333333333333,1200,1.0,1.0,0.0,0.0,1376256000,1376256000
fixed,envelope,32768,multidepth,1200,1200,1199,599,0,0.49916666666666665,1195,0.9958333333333333,0.9966638865721434,0.0,0.0,1376256000,196608000
fixed,ideal,512,direct,1200,1200,1200,200,0,0.16666666666666666,1167,0.9725,0.9725,0.0,0.0,21504000,21504000
fixed,ideal,512,multidepth,1200,1200,1191,207,3,0.1725,1177,0.9808333333333333,0.9882451721242653,0.0025,0.014492753623188406,21504000,3072000
fixed,ideal,8192,direct,1200,1200,1200,200,0,0.16666666666666666,1187,0.9891666666666666,0.9891666666666666,0.0,0.0,344064000,344064000
fixed,ideal,8192,multidepth,1200,1200,1190,457,1,0.38083333333333336,1183,0.9858333333333333,0.9941176470588236,0.0008333333333333334,0.002188183807439825,344064000,49152000
fixed,ideal,32768,direct,1200,1200,1200,400,0,0.3333333333333333,1200,1.0,1.0,0.0,0.0,1376256000,1376256000
fixed,ideal,32768,multidepth,1200,1200,1187,613,0,0.5108333333333334,1181,0.9841666666666666,0.9949452401010952,0.0,0.0,1376256000,196608000
fixed,matched,512,direct,1200,1200,1200,200,0,0.16666666666666666,1156,0.9633333333333334,0.9633333333333334,0.0,0.0,21504000,21504000
fixed,matched,512,multidepth,1200,1200,1188,202,2,0.16833333333333333,1168,0.9733333333333334,0.9831649831649831,0.0016666666666666668,0.009900990099009901,21504000,3072000
fixed,matched,8192,direct,1200,1200,1200,200,0,0.16666666666666666,1191,0.9925,0.9925,0.0,0.0,344064000,344064000
fixed,matched,8192,multidepth,1200,1200,1184,420,0,0.35,1179,0.9825,0.995777027027027,0.0,0.0,344064000,49152000
fixed,matched,32768,direct,1200,1200,1200,400,0,0.3333333333333333,1195,0.9958333333333333,0.9958333333333333,0.0,0.0,1376256000,1376256000
fixed,matched,32768,multidepth,1200,1200,1185,599,0,0.49916666666666665,1183,0.9858333333333333,0.9983122362869198,0.0,0.0,1376256000,196608000
selected,envelope,512,direct,1200,800,800,200,0,0.16666666666666666,786,0.9825,0.9825,0.0,0.0,14336000,14336000
selected,envelope,512,multidepth,1200,800,795,201,1,0.1675,786,0.9825,0.9886792452830189,0.0008333333333333334,0.004975124378109453,14336000,2048000
selected,envelope,8192,direct,1200,800,800,200,0,0.16666666666666666,798,0.9975,0.9975,0.0,0.0,229376000,229376000
selected,envelope,8192,multidepth,1200,800,799,204,0,0.17,798,0.9975,0.9987484355444305,0.0,0.0,229376000,32768000
selected,envelope,32768,direct,1200,800,800,400,0,0.3333333333333333,800,1.0,1.0,0.0,0.0,917504000,917504000
selected,envelope,32768,multidepth,1200,800,797,597,0,0.4975,796,0.995,0.998745294855709,0.0,0.0,917504000,131072000
selected,ideal,512,direct,1200,800,800,200,0,0.16666666666666666,779,0.97375,0.97375,0.0,0.0,14336000,14336000
selected,ideal,512,multidepth,1200,800,791,199,2,0.16583333333333333,779,0.97375,0.9848293299620733,0.0016666666666666668,0.010050251256281407,14336000,2048000
selected,ideal,8192,direct,1200,800,800,200,0,0.16666666666666666,790,0.9875,0.9875,0.0,0.0,229376000,229376000
selected,ideal,8192,multidepth,1200,800,792,469,0,0.3908333333333333,791,0.98875,0.9987373737373737,0.0,0.0,229376000,32768000
selected,ideal,32768,direct,1200,800,800,400,0,0.3333333333333333,800,1.0,1.0,0.0,0.0,917504000,917504000
selected,ideal,32768,multidepth,1200,800,795,618,0,0.515,794,0.9925,0.9987421383647799,0.0,0.0,917504000,131072000
selected,matched,512,direct,1200,800,800,200,0,0.16666666666666666,775,0.96875,0.96875,0.0,0.0,14336000,14336000
selected,matched,512,multidepth,1200,800,787,204,3,0.17,772,0.965,0.9809402795425667,0.0025,0.014705882352941176,14336000,2048000
selected,matched,8192,direct,1200,800,800,200,0,0.16666666666666666,792,0.99,0.99,0.0,0.0,229376000,229376000
selected,matched,8192,multidepth,1200,800,791,409,0,0.3408333333333333,789,0.98625,0.9974715549936789,0.0,0.0,229376000,32768000
selected,matched,32768,direct,1200,800,800,400,0,0.3333333333333333,796,0.995,0.995,0.0,0.0,917504000,917504000
selected,matched,32768,multidepth,1200,800,787,609,0,0.5075,785,0.98125,0.9974587039390089,0.0,0.0,917504000,131072000
