case,route,degree,deterministic_dollar_allowance,status,M,a_calls,projected_CX,control_cancelled_projected_CX,qubits,scope
D1,reflection,16,1.5195624134949242,deterministic_budget_exhausted,,,,,,logical projection; not runtime or quantum advantage
D1,reflection,32,0.8104270903507018,ideal_plan,512,17391,712513811703,73173197903,57,logical projection; not runtime or quantum advantage
D1,reflection,64,0.4547374356095953,ideal_plan,128,4335,354203646982,36469403102,55,logical projection; not runtime or quantum advantage
D1,reflection,128,0.2767579309550001,ideal_plan,128,4335,708338061702,72928903262,55,logical projection; not runtime or quantum advantage
D1,ripple,24,0.10189902835455992625804467727841993450293783734267932969894317491511904456344780,ideal_plan,1024,34799,4795253895265,560069542723,3682,logical projection; not runtime or quantum advantage
D1,fourier,24,0.10189902837816925850078075475562486204439494963655092450079164126706581746084670,ideal_plan,1024,34799,4797944670395,560364116309,3680,logical projection; not runtime or quantum advantage
D2,reflection,16,3.5769300973257656,deterministic_budget_exhausted,,,,,,logical projection; not runtime or quantum advantage
D2,reflection,32,1.878541831560447,deterministic_budget_exhausted,,,,,,logical projection; not runtime or quantum advantage
D2,reflection,64,1.0266605105397943,deterministic_budget_exhausted,,,,,,logical projection; not runtime or quantum advantage
D2,reflection,128,0.600397296204273,ideal_plan,512,17391,10555616671767,1101392680835,103,logical projection; not runtime or quantum advantage
D2,ripple,24,0.18790249477262767443273665915320736244347631253796237490182823389156541600633954,ideal_plan,2048,69615,19250344005889,2248246010763,6943,logical projection; not runtime or quantum advantage
D2,fourier,24,0.18790249485781598664879448809848319588619780535857676111255266435180888198333976,ideal_plan,2048,69615,19258400674483,2249117660229,6941,logical projection; not runtime or quantum advantage
